t,x,xdot
46.1,-1.80635,-1.31173
46.2,-1.91147,-0.957038
46.3,-1.98524,-0.62861
46.4,-2.03068,-0.339841
46.5,-2.05187,-0.0948852
46.6,-2.05301,0.108478
46.7,-2.03782,0.275814
46.8,-2.00939,0.413801
46.9,-1.97011,0.528935
47,-1.92178,0.626937
47.1,-1.86571,0.712596
47.2,-1.80278,0.78982
47.3,-1.73359,0.861779
47.4,-1.65847,0.931066
47.5,-1.57754,0.999848
47.6,-1.49074,1.06999
47.7,-1.39788,1.14314
47.8,-1.2986,1.22084
47.9,-1.19244,1.30449
48,-1.07881,1.39545
48.1,-0.95698,1.49489
48.2,-0.826156,1.60378
48.3,-0.685461,1.72263
48.4,-0.534015,1.85114
48.5,-0.371038,1.98775
48.6,-0.196015,2.12886
48.7,-0.00895319,2.26802
48.8,0.189288,2.3951
48.9,0.396622,2.49594
49,0.609437,2.55312
49.1,0.822558,2.54859
49.2,1.02966,2.46808
49.3,1.22412,2.30616
49.4,1.40005,2.06942
49.5,1.55313,1.7758
49.6,1.68091,1.45005
49.7,1.78269,1.11753
49.8,1.85915,0.799163
49.9,1.91197,0.508914
50,1.94342,0.25367
50.1,1.95604,0.0346745
50.2,1.95239,-0.150547
50.3,1.93482,-0.306452
50.4,1.90539,-0.438199
50.5,1.8658,-0.550868
50.6,1.81743,-0.649057
50.7,1.7613,-0.736743
50.8,1.69817,-0.817289
50.9,1.62854,-0.893523
51,1.55272,-0.967833
51.1,1.4708,-1.04228
51.2,1.38276,-1.11868
51.3,1.28841,-1.19867
51.4,1.18745,-1.28377
51.5,1.07945,-1.37537
51.6,0.963893,-1.47471
51.7,0.840149,-1.58284
51.8,0.707526,-1.70039
51.9,0.565286,-1.82736
52,0.412692,-1.96269
52.1,0.249085,-2.10367
52.2,0.073998,-2.24523
52.3,-0.112682,-2.37913
52.4,-0.310485,-2.49333
52.5,-0.518048,-2.57196
52.6,-0.732757,-2.59662
52.7,-0.950372,-2.54939
52.8,-1.16485,-2.41775
52.9,-1.36861,-2.19989
53,-1.55347,-1.90796
53.1,-1.71225,-1.56669
53.2,-1.84025,-1.20708
53.3,-1.93605,-0.85804
53.4,-2.00121,-0.540215
53.5,-2.03915,-0.264102
53.6,-2.05409,-0.0316694
53.7,-2.05012,0.160561
53.8,-2.0308,0.318665
53.9,-1.99899,0.449365
